iter	Passed	Remaining
618	45324	27897
619	45408	27830
620	45500	27769
621	45570	27694
622	45641	27619
623	45703	27539
624	45788	27473
625	45856	27396
626	45939	27329
627	46027	27264
628	46129	27208
629	46214	27141
630	46304	27077
631	46388	27011
632	46458	26935
633	46539	26866
634	46626	26801
635	46738	26749
636	46844	26694
637	46921	26623
638	46998	26551
639	47088	26487
640	47167	26416
641	47245	26345
642	47305	26264
643	47367	26184
644	47439	26109
645	47515	26038
646	47593	25966
647	47664	25892
648	47737	25817
649	47828	25753
650	47897	25677
651	47993	25616
652	48081	25549
653	48154	25476
654	48265	25422
655	48340	25349
656	48478	25308
657	48659	25290
658	48778	25240
659	48856	25168
660	48928	25093
661	49027	25032
662	49229	25023
663	49418	25007
664	49611	24992
665	49759	24954
666	49920	24922
667	50032	24866
668	50156	24815
669	50250	24750
670	50398	24711
671	50648	24721
672	50764	24665
673	50863	24601
674	51130	24618
675	51335	24604
676	51473	24558
677	51572	24493
678	51680	24432
679	51785	24369
680	51881	24302
681	51952	24224
682	52021	24144
683	52114	24076
684	52187	23998
685	52259	23920
686	52316	23835
687	52379	23753
688	52448	23674
689	52525	23598
690	52631	23535
691	52714	23462
692	52803	23392
693	52865	23309
694	52923	23225
695	52984	23142
696	53042	23058
697	53114	22980
698	53171	22896
699	53239	22817
700	53312	22739
701	53364	22653
702	53424	22570
703	53536	22509
704	53595	22426
705	53669	22349
706	53755	22277
707	53854	22211
708	53918	22130
709	53996	22054
710	54054	21971
711	54113	21888
712	54172	21805
713	54229	21722
714	54282	21637
715	54352	21558
716	54426	21482
717	54502	21406
718	54568	21326
719	54635	21247
720	54729	21178
721	54806	21102
722	54876	21024
723	54945	20946
724	55016	20868
725	55088	20790
726	55157	20712
727	55217	20630
728	55291	20554
729	55378	20482
730	55474	20413
731	55555	20339
732	55628	20263
733	55691	20182
734	55756	20102
735	55845	20031
736	55915	19953
737	55991	19877
738	56049	19795
739	56119	19717
740	56187	19639
741	56264	19563
742	56326	19482
743	56403	19407
744	56482	19332
745	56594	19269
